"PGS","PHENO","GEN_MOD","VAR","BETA","SE"
"AFB_Repo","SBP",2,"proband",-0.0303591185905023,0.0315213864274938
"AFB_Repo","SBP",2,"paternal",-0.0215242822848561,0.0304372937080316
"AFB_Repo","SBP",2,"maternal",-0.0392287147066783,0.030308605984008
"AFB_Repo","SBP",3,"proband",-0.0301499667911696,0.0315544103406789
"AFB_Repo","SBP",3,"paternal",-0.0286394393812023,0.0437319375076752
"AFB_Repo","SBP",3,"maternal",-0.051352276885912,0.0421733961613564
"AFB_Repo","SBP",3,"gp",0.00683343818761297,0.0365630618689235
"AFB_Repo","SBP",3,"gm",0.0140491684010238,0.0369035819412957
"AFB_Repo","BG.Fast",1,"proband",-0.0753302296985815,0.0232329752827008
"AFB_Repo","BG.Fast",2,"proband",-0.0792353498135944,0.0324760251715751
"AFB_Repo","BG.Fast",2,"paternal",0.0131335868719803,0.0289427032836313
"AFB_Repo","BG.Fast",2,"maternal",-0.00550593751664242,0.0287978965482536
"AFB_Repo","BG.Fast",3,"proband",-0.0831076029516046,0.0324752977595586
"AFB_Repo","BG.Fast",3,"paternal",0.0908748174317553,0.0410984474668612
"AFB_Repo","BG.Fast",3,"maternal",0.0123830270080635,0.0390920955368584
"AFB_Repo","BG.Fast",3,"gp",-0.0878951837482685,0.0335641388327864
"AFB_Repo","BG.Fast",3,"gm",-0.00611466761085912,0.0335073227060581
"AFB_Repo","BG.All",1,"proband",-0.0829529655085109,0.0229804127346052
"AFB_Repo","BG.All",2,"proband",-0.0954821867900958,0.0323530265799693
"AFB_Repo","BG.All",2,"paternal",0.0387281029521997,0.0286004644756832
"AFB_Repo","BG.All",2,"maternal",-0.0142009461856353,0.0285027780100468
"AFB_Repo","BG.All",3,"proband",-0.0987819056047766,0.0323527314916792
"AFB_Repo","BG.All",3,"paternal",0.111932532072911,0.040586298934165
"AFB_Repo","BG.All",3,"maternal",0.0115457163538052,0.0385715558839033
"AFB_Repo","BG.All",3,"gp",-0.0819230489530605,0.0331649013169053
